iter	Passed	Remaining
0	3	318
1	5	253
2	6	211
3	7	181
4	8	168
5	10	166
6	12	161
7	13	158
8	14	149
9	15	141
10	17	138
11	18	133
12	19	128
13	20	123
14	21	120
15	21	115
16	22	111
17	23	107
18	24	103
19	24	99
20	25	96
21	26	93
22	27	91
23	28	88
24	28	86
25	29	84
26	31	84
27	31	82
28	32	80
29	33	78
30	34	76
31	34	74
32	35	72
33	36	70
34	37	68
35	37	67
36	38	65
37	39	64
38	40	62
39	40	61
40	41	59
41	41	57
42	42	56
43	42	54
44	43	53
45	44	52
46	44	50
47	45	49
48	46	48
49	48	48
50	48	46
51	49	45
52	50	44
53	50	43
54	51	42
55	51	40
56	52	39
57	53	38
58	53	37
59	54	36
60	55	35
61	55	34
62	56	33
63	57	32
64	57	31
65	58	30
66	59	29
67	59	28
68	61	27
69	62	26
70	62	25
71	63	24
72	64	23
73	64	22
74	65	21
75	66	20
76	66	19
77	67	19
78	68	18
79	68	17
80	69	16
81	69	15
82	70	14
83	70	13
84	71	12
85	72	11
86	72	10
87	73	10
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	78	4
94	78	4
95	79	3
96	79	2
97	80	1
98	81	0
99	81	0
