iter	Passed	Remaining
0	149	148854
1	151	75455
2	153	50872
3	154	38521
4	155	30977
5	156	25901
6	157	22287
7	157	19570
8	158	17479
9	161	15990
10	162	14639
11	163	13484
12	164	12493
13	165	11636
14	166	10902
15	166	10269
16	167	9698
17	168	9195
18	169	8748
19	170	8361
20	171	7993
21	172	7658
22	172	7344
23	173	7055
24	176	6881
25	177	6654
26	178	6440
27	179	6232
28	180	6039
29	181	5852
30	181	5676
31	182	5511
32	182	5356
33	183	5213
34	184	5075
35	184	4945
36	185	4821
37	185	4703
38	186	4592
39	186	4487
40	187	4388
41	188	4298
42	189	4211
43	189	4124
44	190	4040
45	190	3960
46	191	3886
47	193	3828
48	193	3762
49	194	3696
50	195	3633
51	195	3571
52	196	3512
53	197	3455
54	197	3401
55	198	3349
56	204	3375
57	204	3327
58	205	3284
59	206	3236
60	207	3190
61	207	3145
62	208	3102
63	209	3060
64	210	3021
65	210	2982
66	211	2944
67	212	2906
68	212	2868
69	213	2831
70	213	2796
71	214	2764
72	215	2734
73	215	2702
74	216	2670
75	217	2639
76	217	2608
77	218	2579
78	218	2550
79	219	2522
80	219	2495
81	220	2468
82	220	2439
83	221	2415
84	222	2390
85	222	2365
86	223	2342
87	224	2322
88	226	2315
89	227	2302
90	228	2284
91	229	2263
92	229	2243
93	230	2224
94	231	2204
95	232	2185
96	232	2167
97	233	2148
98	234	2129
99	234	2111
100	235	2093
101	235	2075
102	236	2058
103	236	2041
104	237	2024
105	238	2007
106	238	1991
107	239	1975
108	240	1962
109	240	1948
110	241	1934
111	242	1920
112	242	1905
113	243	1890
114	243	1876
115	244	1862
116	244	1848
117	245	1836
118	246	1823
119	246	1810
120	247	1798
121	248	1785
122	248	1772
123	249	1761
124	252	1768
125	253	1759
126	254	1748
127	255	1739
128	256	1729
129	256	1718
130	257	1707
131	257	1695
132	258	1684
133	259	1673
134	259	1663
135	260	1653
136	260	1642
137	261	1632
138	261	1622
139	262	1612
140	263	1603
141	263	1592
142	264	1585
143	269	1602
144	270	1593
145	270	1583
146	271	1574
147	271	1565
148	272	1556
149	273	1547
150	273	1539
151	274	1531
152	275	1523
153	275	1514
154	276	1506
155	276	1498
156	277	1490
157	278	1481
158	278	1474
159	279	1466
160	279	1457
161	280	1452
162	283	1453
163	284	1448
164	284	1441
165	285	1434
166	286	1427
167	286	1420
168	287	1413
169	288	1406
170	288	1399
171	289	1392
172	289	1385
173	290	1379
174	291	1372
175	292	1367
176	292	1360
177	293	1354
178	293	1347
179	296	1352
180	297	1347
181	298	1341
182	298	1334
183	299	1328
184	300	1322
185	300	1316
186	301	1310
187	302	1304
188	302	1298
189	303	1292
190	303	1286
191	304	1281
192	305	1275
193	305	1270
194	306	1265
195	307	1259
196	307	1254
197	308	1250
198	309	1245
199	312	1251
200	313	1248
201	314	1243
202	315	1238
203	316	1233
204	316	1228
205	317	1223
206	318	1219
207	318	1214
208	319	1209
209	320	1204
210	320	1199
211	321	1194
212	321	1189
213	322	1184
214	322	1179
215	323	1174
216	324	1169
217	329	1180
218	329	1176
219	330	1171
220	331	1166
221	331	1162
222	332	1157
223	332	1153
224	333	1148
225	333	1143
226	334	1139
227	335	1134
228	335	1130
229	336	1127
230	337	1122
231	337	1118
232	338	1114
233	338	1109
234	339	1105
235	341	1107
236	343	1105
237	344	1102
238	345	1098
239	345	1095
240	346	1091
241	347	1087
242	347	1083
243	348	1079
244	349	1075
245	349	1072
246	350	1068
247	350	1064
248	351	1060
249	352	1056
250	352	1052
251	353	1048
252	353	1044
253	354	1041
254	359	1051
255	360	1047
256	361	1043
257	361	1040
258	362	1036
259	362	1032
260	363	1029
261	364	1026
262	365	1022
263	365	1019
264	366	1015
265	366	1011
266	367	1009
267	368	1005
268	368	1001
269	369	998
270	369	994
271	372	997
272	373	995
273	374	992
274	375	989
275	375	986
276	376	983
277	377	980
278	377	976
279	378	973
280	379	970
281	379	967
282	380	963
283	381	960
284	382	958
285	382	956
286	383	953
287	384	950
288	389	958
289	390	956
290	391	953
291	391	949
292	392	946
293	392	943
294	393	940
295	394	937
296	394	934
297	395	931
298	395	928
299	396	925
300	397	922
301	397	918
302	398	915
303	398	912
304	399	910
305	400	907
306	403	911
307	404	909
308	405	906
309	406	904
310	406	901
311	407	898
312	408	895
313	409	893
314	409	890
315	410	887
316	410	884
317	411	882
318	411	879
319	412	876
320	412	873
321	413	870
322	414	867
323	414	865
324	415	862
325	416	861
326	420	866
327	422	866
328	425	866
329	432	879
330	433	877
331	434	874
332	435	873
333	436	870
334	437	868
335	438	865
336	438	863
337	439	860
338	440	858
339	450	873
340	451	871
341	451	869
342	452	867
343	454	866
344	455	864
345	456	863
346	463	871
347	464	869
348	465	867
349	465	865
350	466	862
351	467	860
352	467	857
353	469	856
354	470	854
355	471	852
356	471	850
357	477	856
358	478	854
359	479	852
360	480	850
361	481	847
362	481	845
363	482	843
364	483	840
365	483	838
366	484	835
367	485	833
368	486	831
369	487	829
370	492	834
371	493	832
372	494	830
373	494	827
374	495	825
375	496	823
376	496	820
377	497	818
378	497	815
379	498	813
380	498	810
381	499	808
382	500	805
383	500	803
384	501	800
385	501	798
386	502	795
387	507	800
388	508	798
389	509	796
390	509	794
391	510	791
392	510	789
393	511	786
394	512	784
395	512	781
396	513	779
397	513	777
398	514	775
399	515	772
400	515	770
401	516	768
402	516	765
403	517	763
404	518	761
405	522	764
406	523	763
407	524	761
408	525	759
409	526	757
410	526	754
411	527	752
412	527	750
413	528	748
414	528	745
415	529	743
416	530	741
417	530	738
418	531	736
419	531	734
420	532	732
421	533	730
422	536	732
423	537	730
424	538	728
425	539	726
426	539	724
427	540	722
428	541	720
429	542	719
430	543	717
431	543	714
432	544	712
433	544	710
434	545	708
435	546	706
436	546	704
437	547	702
438	547	700
439	548	697
440	552	700
441	553	698
442	554	697
443	555	695
444	556	694
445	557	692
446	558	690
447	558	688
448	559	686
449	560	685
450	561	683
451	561	681
452	562	679
453	563	677
454	565	677
455	566	675
456	567	673
457	567	671
458	568	669
459	568	667
460	569	665
461	569	663
462	570	661
463	571	659
464	571	657
465	572	655
466	577	658
467	578	657
468	579	656
469	580	654
470	580	652
471	581	650
472	582	648
473	583	647
474	583	645
475	584	643
476	584	641
477	585	639
478	585	637
479	586	635
480	586	633
481	587	631
482	588	629
483	599	638
484	599	637
485	600	635
486	601	633
487	602	631
488	602	629
489	603	627
490	603	625
491	608	628
492	612	629
493	613	627
494	614	626
495	614	624
496	615	622
497	615	620
498	616	619
499	617	617
500	617	615
501	618	613
502	619	611
503	626	616
504	627	614
505	628	613
506	629	611
507	629	609
508	630	608
509	630	606
510	631	604
511	632	602
512	632	600
513	633	598
514	633	596
515	634	594
516	634	593
517	640	596
518	642	595
519	643	593
520	644	592
521	644	590
522	645	588
523	645	586
524	646	584
525	647	583
526	647	581
527	648	579
528	648	577
529	649	576
530	650	574
531	656	577
532	657	575
533	657	574
534	658	572
535	659	570
536	659	568
537	660	567
538	660	565
539	661	563
540	662	561
541	662	559
542	663	558
543	663	556
544	664	554
545	665	552
546	665	551
547	667	550
548	669	549
549	669	548
550	670	546
551	672	545
552	673	544
553	673	542
554	674	540
555	674	538
556	675	537
557	676	535
558	676	533
559	677	532
560	677	530
561	678	528
562	678	526
563	679	525
564	680	523
565	680	521
566	681	520
567	681	518
568	682	516
569	683	515
570	683	513
571	684	511
572	684	510
573	685	508
574	686	507
575	686	505
576	687	503
577	687	502
578	688	500
579	692	501
580	693	500
581	694	499
582	695	497
583	696	496
584	697	494
585	697	492
586	698	491
587	698	489
588	699	488
589	700	486
590	700	484
591	701	483
592	701	481
593	702	480
594	702	478
595	703	477
596	710	479
597	710	477
598	711	476
599	711	474
600	712	472
601	713	471
602	713	469
603	714	468
604	714	466
605	715	465
606	716	463
607	716	462
608	717	460
609	718	459
610	718	457
611	722	458
612	724	457
613	726	457
614	727	455
615	728	454
616	729	452
617	730	451
618	731	450
619	732	448
620	733	447
621	733	445
622	739	447
623	741	446
624	741	445
625	742	443
626	743	442
627	744	441
628	745	439
629	746	438
630	747	436
631	747	435
632	748	433
633	749	432
634	754	433
635	755	432
636	756	431
637	757	429
638	758	428
639	759	427
640	760	425
641	761	424
642	761	423
643	762	421
644	763	420
645	769	421
646	770	420
647	771	418
648	772	417
649	772	416
650	773	414
651	774	413
652	774	411
653	775	410
654	775	408
655	776	407
656	777	405
657	778	404
658	778	402
659	779	401
660	779	399
661	783	400
662	784	398
663	785	397
664	785	395
665	786	394
666	787	393
667	787	391
668	788	390
669	789	388
670	790	387
671	790	385
672	791	384
673	792	383
674	794	382
675	800	383
676	802	382
677	804	381
678	805	380
679	805	379
680	807	378
681	807	376
682	808	375
683	817	377
684	818	376
685	819	375
686	820	373
687	821	372
688	822	371
689	822	369
690	823	368
691	824	366
692	824	365
693	825	363
694	831	364
695	832	363
696	833	362
697	834	361
698	835	359
699	835	358
700	836	356
701	837	355
702	837	353
703	838	352
704	838	351
705	839	349
706	840	348
707	840	346
708	845	347
709	847	346
710	848	344
711	848	343
712	849	341
713	850	340
714	850	339
715	851	337
716	852	336
717	852	334
718	853	333
719	853	332
720	854	330
721	854	329
722	855	327
723	856	326
724	862	327
725	863	325
726	864	324
727	864	323
728	865	321
729	865	320
730	866	318
731	866	317
732	867	315
733	868	314
734	868	313
735	869	311
736	870	310
737	870	309
738	871	307
739	871	306
740	876	306
741	877	305
742	879	304
743	879	302
744	880	301
745	880	299
746	881	298
747	882	297
748	882	295
749	883	294
750	883	293
751	884	291
752	885	290
753	885	288
754	886	287
755	886	286
756	893	286
757	894	285
758	895	284
759	895	282
760	896	281
761	897	280
762	897	278
763	898	277
764	898	276
765	899	274
766	900	273
767	900	272
768	901	270
769	901	269
770	902	268
771	907	267
772	908	266
773	909	265
774	910	264
775	910	262
776	911	261
777	911	260
778	912	258
779	913	257
780	913	256
781	914	254
782	915	253
783	915	252
784	916	250
785	916	249
786	917	248
787	917	246
788	927	247
789	928	246
790	930	245
791	931	244
792	931	243
793	932	241
794	933	240
795	935	239
796	937	238
797	939	237
798	940	236
799	940	235
800	941	233
801	942	232
802	942	231
803	943	229
804	943	228
805	944	227
806	944	225
807	945	224
808	945	223
809	946	222
810	947	220
811	954	221
812	955	219
813	956	218
814	956	217
815	957	215
816	958	214
817	959	213
818	960	212
819	961	210
820	961	209
821	962	208
